city,country,lat,lon,season_aegypti_1991_2020,season_albopictus_1991_2020,season_aegypti_1961_1990,season_albopictus_1961_1990,delta_aegypti,delta_albopictus,abs_lat,temp_mean_c
Seoul,"Korea, South",37.5667,126.9833,4,4,4,4,0,0,37.5667,12.086666666666666
Serang,Indonesia,-6.12,106.1503,12,12,12,12,0,0,6.12,27.541666666666668
Setagaya,Japan,35.6466,139.6532,5,4,4,4,1,0,35.6466,15.844999999999999
Sevastopol,Ukraine,44.605,33.5225,4,4,3,3,1,1,44.605,12.985
Sevilla,Spain,37.39,-5.99,6,2,6,4,0,-2,37.39,18.949166666666667
Seyhan,Turkey,36.9831,35.3328,6,4,6,4,0,0,36.9831,18.9925
Sha Tin,Hong Kong,22.3802,114.1898,9,9,8,9,1,0,22.3802,23.003333333333334
Shache,China,38.4261,77.25,5,4,5,4,0,0,38.4261,13.178333333333335
Shagamu,Nigeria,6.8333,3.65,12,12,12,12,0,0,6.8333,26.425833333333333
Shah Alam,Malaysia,3.0667,101.55,12,12,12,12,0,0,3.0667,27.685833333333335
Shanghai,China,31.2286,121.4747,6,4,5,4,1,0,31.2286,17.0675
Shangqiu,China,34.415,115.656,5,4,5,4,0,0,34.415,15.354999999999999
Shangrao,China,28.4551,117.9431,6,5,6,5,0,0,28.4551,18.749166666666667
Shangzhou,China,33.8734,109.9186,3,4,3,4,0,0,33.8734,11.768333333333333
Shanhu,China,29.6,120.8167,5,4,5,4,0,0,29.6,16.624166666666667
Shantou,China,23.354,116.682,8,8,8,8,0,0,23.354,22.055833333333336
Shanwei,China,22.7872,115.3756,9,9,8,9,1,0,22.7872,22.924166666666665
Shaoguan,China,24.811,113.597,7,6,7,6,0,0,24.811,20.13
Shaoxing,China,30.0511,120.5833,6,4,5,4,1,0,30.0511,17.664166666666667
Shaoyang,China,27.2395,111.4679,5,5,5,5,0,0,27.2395,17.358333333333334
Sharjah,United Arab Emirates,25.3575,55.3908,7,1,6,1,1,0,25.3575,28.050833333333333
Sheffield,United Kingdom,53.3808,-1.4703,0,2,0,0,0,2,53.3808,9.369166666666667
Shengli,China,37.434,118.6746,5,4,5,4,0,0,37.434,13.685
Shenyang,China,41.8025,123.4281,3,4,3,4,0,0,41.8025,9.068333333333333
Shenzhen,China,22.5415,114.0596,9,9,9,9,0,0,22.5415,23.145
Shenzhou,China,38.002,115.56,5,4,5,4,0,0,38.002,14.4125
Shibīn al Qanāţir,Egypt,30.3127,31.3202,8,5,8,5,0,0,30.3127,22.180833333333336
Shihezi,China,44.3054,86.0804,3,4,3,4,0,0,44.3054,8.428333333333333
Shijiazhuang,China,38.0425,114.51,5,4,5,4,0,0,38.0425,14.0875
Shiliguri,India,26.71,88.43,10,5,10,5,0,0,26.71,23.6825
Shishi,China,24.7167,118.7,8,7,8,7,0,0,24.7167,21.604166666666668
Shiyan,China,32.629,110.7987,5,4,5,4,0,0,32.629,15.649166666666666
Shizuoka,Japan,34.9756,138.3828,5,4,4,4,1,0,34.9756,15.777499999999998
Shouguang,China,36.857,118.791,5,4,5,4,0,0,36.857,13.8425
Shuangqiao,China,35.067,112.602,5,4,5,4,0,0,35.067,14.44
Shuangyashan,China,46.6762,131.1416,3,3,3,3,0,0,46.6762,4.154166666666667
Shubrā al Khaymah,Egypt,30.1286,31.2422,8,5,8,5,0,0,30.1286,22.180833333333336
Shuizhai,China,33.4658,114.8753,5,4,5,4,0,0,33.4658,15.814166666666665
Shuozhou,China,39.3317,112.4329,3,3,2,3,1,0,39.3317,6.800833333333333
Shuyangzha,China,34.1299,118.7734,5,4,5,4,0,0,34.1299,14.898333333333333
Shymkent,Kazakhstan,42.3167,69.5958,5,4,4,4,1,0,42.3167,13.160833333333334
Shīrāz,Iran,29.61,52.5425,0,1,0,1,0,0,29.61,16.2975
Shīshgarh,India,28.72,79.32,7,2,6,2,1,0,28.72,24.3425
Sialkot City,Pakistan,32.4925,74.5311,6,2,6,2,0,0,32.4925,23.1125
Sihui,China,23.3265,112.7338,8,8,8,8,0,0,23.3265,22.575
Sincan,Turkey,39.9594,32.5767,3,4,3,3,0,1,39.9594,12.165
Singapore,Singapore,1.3,103.8,12,12,12,12,0,0,1.3,27.09583333333333
Sinnūris,Egypt,29.4072,30.8667,5,2,7,3,-2,-1,29.4072,23.0125
Siping,China,43.1668,124.3506,3,4,3,4,0,0,43.1668,7.2475
Sizhan,China,38.9846,106.3828,3,4,3,4,0,0,38.9846,9.475833333333334
Soacha,Colombia,4.5872,-74.2214,0,4,0,2,0,2,4.5872,14.784999999999998
Sofia,Bulgaria,42.6979,23.3217,2,3,1,3,1,0,42.6979,9.583333333333334
Soledad,Colombia,10.9167,-74.75,12,12,12,12,0,0,10.9167,27.0775
Solāpur,India,17.68,75.92,9,9,8,8,1,1,17.68,27.546666666666667
Somolu,Nigeria,6.5408,3.3872,12,12,12,12,0,0,6.5408,26.765
Songjiang,China,31.0058,121.2333,6,4,5,4,1,0,31.0058,17.118333333333332
Songyang,China,34.4553,113.0253,5,4,5,4,0,0,34.4553,13.8925
Songzi,China,30.174,111.757,5,4,5,4,0,0,30.174,17.444166666666664
Sorocaba,Brazil,-23.5019,-47.4578,10,8,8,8,2,0,23.5019,20.970833333333335
Southampton,United Kingdom,50.9025,-1.4042,0,3,0,2,0,1,50.9025,10.719166666666666
Soweto,South Africa,-26.2678,27.8585,4,5,4,5,0,0,26.2678,16.204166666666666
Srīnagar,India,34.09,74.79,3,4,3,3,0,1,34.09,11.301666666666668
St. Louis,United States,38.6359,-90.2451,5,4,5,4,0,0,38.6359,13.536666666666667
Stockholm,Sweden,59.3275,18.0547,0,2,0,2,0,0,59.3275,7.008333333333333
Stuttgart,Germany,48.7775,9.18,2,3,0,3,2,0,48.7775,9.840833333333334
Suez,Egypt,29.9667,32.5333,8,4,8,5,0,-1,29.9667,22.34583333333333
Suginami-ku,Japan,35.6994,139.6364,5,4,4,4,1,0,35.6994,15.844999999999999
Suihua,China,46.654,126.969,3,3,3,3,0,0,46.654,3.47
Suining,China,30.533,105.593,6,5,5,4,1,1,30.533,18.395833333333332
Sumedang,Indonesia,-6.84,107.9208,12,12,12,12,0,0,6.84,25.3275
Sungai Petani,Malaysia,5.6497,100.4793,12,12,12,12,0,0,5.6497,27.64833333333333
Suohe,China,34.7833,113.35,5,4,5,4,0,0,34.7833,14.805833333333332
Supaul,India,26.126,86.605,9,4,9,4,0,0,26.126,25.382499999999997
Suqian,China,33.963,118.275,5,4,5,4,0,0,33.963,15.1275
Surabaya,Indonesia,-7.2458,112.7378,12,12,12,12,0,0,7.2458,28.17833333333333
Surakarta,Indonesia,-7.5667,110.8167,12,12,12,12,0,0,7.5667,25.4225
Surrey,Canada,49.19,-122.8489,0,2,0,2,0,0,49.19,9.374166666666667
Suwon,"Korea, South",37.2667,127.0167,4,4,4,4,0,0,37.2667,12.373333333333333
Suzhou,China,33.648,116.964,5,4,5,4,0,0,33.648,15.375833333333333
Sydney,Australia,-33.8667,151.2,6,4,6,4,0,0,33.8667,18.045833333333334
São Bernardo do Campo,Brazil,-23.6939,-46.565,7,7,7,7,0,0,23.6939,20.1225
São Gonçalo,Brazil,-22.8269,-43.0539,12,12,12,12,0,0,22.8269,23.871666666666666
São José dos Campos,Brazil,-23.1789,-45.8869,8,8,8,8,0,0,23.1789,20.465833333333332
São Luís,Brazil,-2.53,-44.3028,12,12,12,12,0,0,2.53,26.828333333333333
São Paulo,Brazil,-23.5504,-46.6339,8,8,7,7,1,1,23.5504,20.06416666666667
Sŏngnam,"Korea, South",37.4333,127.15,4,4,4,4,0,0,37.4333,11.76
Sūrat,India,21.205,72.84,12,12,12,12,0,0,21.205,26.953333333333333
Tabrīz,Iran,38.0817,46.2992,3,4,2,3,1,1,38.0817,10.859166666666667
Tabūk,Saudi Arabia,28.3972,36.5789,1,0,1,1,0,-1,28.3972,21.761666666666667
Taguig City,Philippines,14.52,121.05,12,12,12,12,0,0,14.52,27.90416666666667
Taichung,Taiwan,24.1439,120.6794,8,8,8,7,0,1,24.1439,21.912499999999998
Taihe,China,30.871,105.388,6,4,5,4,1,0,30.871,18.00166666666667
Taihecun,China,45.771,131.003,3,3,2,3,1,0,45.771,3.653333333333333
Tainan,Taiwan,22.9833,120.1833,11,12,10,11,1,1,22.9833,24.61
Taipei,Taiwan,25.0375,121.5625,8,6,7,6,1,0,25.0375,21.254166666666666
Taishan,China,22.252,112.794,9,9,9,9,0,0,22.252,22.912499999999998
Taixing,China,32.159,120.029,5,4,5,4,0,0,32.159,16.125833333333333
Taiyuan,China,37.8704,112.5497,3,4,3,4,0,0,37.8704,10.6925
Taizhou,China,32.4567,119.9229,5,4,5,4,0,0,32.4567,15.885
Tai’an,China,36.202,117.087,5,4,5,4,0,0,36.202,13.146666666666667
Talatona,Angola,-8.9167,13.1833,12,12,12,12,0,0,8.9167,25.370833333333334
Tallinn,Estonia,59.4372,24.7453,0,2,0,2,0,0,59.4372,6.390833333333333
Tamale,Ghana,9.4075,-0.8533,8,7,8,8,0,-1,9.4075,28.53333333333333
Tampa,United States,27.9945,-82.4447,9,5,8,5,1,0,27.9945,22.378333333333334
Tangerang,Indonesia,-6.1703,106.6403,12,12,12,12,0,0,6.1703,26.949166666666667
Tangier,Morocco,35.7767,-5.8039,6,4,5,4,1,0,35.7767,18.154166666666665
Tangshan,China,39.6294,118.1739,5,4,5,4,0,0,39.6294,12.189166666666665
Tashkent,Uzbekistan,41.3111,69.2797,5,4,5,4,0,0,41.3111,13.9975
