species,lat,lon,year,country_name,iso3,source_type,location_type,source,is_point
Ae. aegypti,25.48,-80.49,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,25.83,-80.22,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,26.35,-80.09,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,26.71,-78.16,1968,Bahamas,BHS,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,27.19,-80.25,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,27.77,-97.41,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,28.03,-97.5,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,28.55,-81.77,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,28.59,-81.35,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,28.79,-81.28,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,28.81,-81.88,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,29.03,-81.31,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,29.06,-82.46,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,29.19,-82.14,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,29.21,-81.03,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,29.42,-98.5,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,29.42,-98.5,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,29.57,-97.97,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,29.65,-81.65,1968,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
